Attending Coll./Univ. (%),African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,First Language Not English %,English Language Learner %,Students With Disabilities %,High Needs %,Salary Totals,Average Salary,FTE Count,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,Students,Students Disciplined,% In-School Suspension,% Out-of-School Suspension,% Expulsion,% Removed to Alternate Setting
74.0,3.1,2.0,7.9,85.9,0.3,0.1,0.7,50.5,49.5,8.9,4.8,14.4,35.5,"     $10,610,746","  $85,917",    124,"          $27,401,268.00","           2,035.6","              $13,461.03","          $31,082,174.00","           2,139.6","              $14,527.10","   2,122",      75,2.3,1.7,0.0,0.0
91.8,2.3,32.6,4.5,56.1,0.2,0.1,4.2,51.7,48.3,17.8,4.8,15.6,24.9,"     $31,536,769","  $84,822",    372,"          $81,006,085.00","           5,632.3","              $14,382.42","          $90,445,894.00","           5,761.7","              $15,697.78","   5,726",      43,0.3,0.5,0.0,0.0
66.3,4.4,0.9,2.5,90.3,0.2,0.1,1.6,50.5,49.5,0.7,0.5,25.3,57.9,"      $6,775,396","  $82,426",     82,"          $18,900,558.00","           1,202.2","              $15,721.64","          $21,089,177.00","           1,418.1","              $14,871.43","   1,282",      75,4.1,2.7,0.0,0.0
79.3,2.3,3.0,7.8,84.3,0.0,0.1,2.6,52.1,47.9,9.6,5.3,17.3,41.9,"     $24,109,895","  $74,116",    325,"          $61,066,266.00","           3,840.1","              $15,902.26","          $66,245,260.00","           3,955.6","              $16,747.21","   4,002",     104,1.5,1.3,0.0,0.0
83.2,1.6,1.1,7.2,86.2,0.2,0.1,3.5,53.5,46.5,2.9,1.3,19.9,36.7,"     $12,882,002","  $76,770",    168,"          $33,209,081.00","           2,122.7","              $15,644.74","          $37,327,984.00","           2,268.4","              $16,455.64","   2,227",      45,1.4,0.9,0.0,0.0
86.8,7.1,9.2,16.2,58.2,0.1,0.2,9.0,51.3,48.6,13.8,6.0,19.9,38.8,"      $9,670,870","  $84,610",    114,"          $29,334,476.00","           1,341.7","              $21,863.66","          $33,478,447.00","           1,511.4","              $22,150.62","   1,388",      50,1.2,3.0,0.0,0.0
91.3,2.1,18.3,5.5,71.3,0.2,0.0,2.6,50.0,49.9,13.1,4.3,19.2,27.6,"     $41,150,023","  $85,092",    484,"         $100,499,377.00","           5,955.0","              $16,876.47","         $109,339,466.00","           6,079.2","              $17,985.83","   6,088",      82,0.9,1.0,0.0,0.0
84.1,3.7,12.5,6.4,72.0,0.1,0.2,5.2,50.4,49.5,10.8,4.8,15.3,25.6,"     $30,389,114","  $75,090",    405,"          $76,491,851.00","           5,712.6","              $13,390.02","          $85,549,467.00","           5,861.9","              $14,594.15","   5,881",      79,0.4,1.0,0.0,0.0
86.9,0.6,0.8,4.2,92.6,0.0,0.0,1.8,50.1,49.9,3.4,1.9,17.4,29.9,"     $11,157,131","  $69,127",    161,"          $29,429,293.00","           2,375.5","              $12,388.67","          $30,732,880.00","           2,454.1","              $12,523.08","   2,436",      98,3.7,0.6,0.0,0.0
85.6,2.2,13.9,10.7,69.3,0.6,0.0,3.3,49.6,50.3,20.1,4.3,16.7,29.9,"     $15,997,243","  $79,628",    201,"          $37,488,089.00","           2,762.3","              $13,571.33","          $41,303,476.00","           2,854.5","              $14,469.60","   2,848",      68,1.1,1.8,0.0,0.0
51.4,0.6,0.4,14.1,82.2,0.4,0.0,2.3,59.5,40.4,15.1,2.9,29.4,48.5,"      $8,563,439","  $73,886",    116,"          $22,862,408.00","           1,138.8","              $20,075.88","          $22,950,059.00","           1,139.8","              $20,135.16","   1,123",     107,5.4,5.0,0.1,0.0
56.3,1.5,1.1,8.7,85.0,0.0,0.0,3.7,52.3,47.7,3.7,2.6,27.1,62.0,"      $7,074,113","  $64,604",    110,"          $21,625,737.00","           1,497.8","              $14,438.33","          $26,165,146.00","           1,884.0","              $13,888.08","   1,604",     117,5.4,3.4,0.0,0.0
65.5,5.5,4.7,14.2,68.8,0.3,0.1,6.4,52.6,47.4,13.2,6.0,17.2,44.7,"     $31,824,218","  $83,792",    380,"          $78,205,507.00","           5,881.7","              $13,296.41","          $86,732,846.00","           6,349.8","              $13,659.15","   6,214",     394,3.4,4.9,0.0,0.0
79.6,1.8,4.1,8.2,82.5,0.1,0.0,3.4,50.0,50.0,7.3,3.5,9.6,28.1,"     $13,339,572","  $74,150",    180,"          $34,387,611.00","           2,591.8","              $13,267.85","          $35,654,327.00","           2,648.2","              $13,463.61","   2,668",      77,1.5,2.0,0.0,0.0
91.7,28.5,4.4,8.0,54.1,0.6,0.0,4.4,53.4,46.3,7.2,4.1,16.3,41.6,"      $5,039,595","  $73,678",     68,"          $11,523,146.00",             723.6,"              $15,924.75","          $12,450,159.00",             744.5,"              $16,722.85",     758,      26,0.3,2.6,0.0,0.0
82.6,4.5,2.6,10.3,76.4,0.5,0.4,5.3,51.8,48.2,7.7,3.3,17.7,38.9,"      $8,601,819","  $63,017",    137,"          $24,145,637.00","           1,693.1","              $14,261.20","          $28,813,992.00","           1,943.1","              $14,828.88","   1,772",      68,3.0,1.1,0.0,0.1
73.7,7.7,2.0,12.9,72.0,0.4,0.2,4.8,51.2,48.8,17.6,9.9,15.2,47.0,"     $29,864,720","  $80,672",    370,"          $77,871,234.00","           4,833.4","              $16,111.07","          $88,673,255.00","           5,625.6","              $15,762.45","   5,183",     178,1.9,2.3,0.0,0.0
86.2,6.1,15.9,5.9,66.8,0.0,0.1,5.3,50.6,49.3,16.5,6.1,16.9,28.2,"     $21,022,795","  $89,004",    236,"          $46,308,485.00","           2,631.9","              $17,595.08","          $50,864,773.00","           2,690.8","              $18,903.22","   2,716",      59,0.6,1.8,0.0,0.0
85.5,1.9,1.8,4.1,89.2,0.3,0.2,2.6,50.8,49.2,1.8,0.7,17.9,31.7,"     $11,245,519","  $67,973",    165,"          $30,556,572.00","           2,306.0","              $13,250.90","          $33,760,553.00","           2,486.9","              $13,575.36","   2,387",      94,3.1,1.2,0.0,0.0
60.9,2.1,2.8,4.3,88.1,0.2,0.4,2.1,51.1,48.9,3.9,1.6,19.9,34.6,"     $12,881,902","  $74,764",    172,"          $34,045,801.00","           2,265.6","              $15,027.28","          $38,570,307.00","           2,475.4","              $15,581.44","   2,354",      47,0.6,1.5,0.0,0.0
88.1,3.4,19.1,4.3,66.2,0.1,0.1,6.8,50.6,49.4,22.7,7.3,10.4,24.1,"     $24,846,861","  $90,616",    274,"          $58,317,102.00","           4,578.9","              $12,736.05","          $66,904,968.00","           4,696.3","              $14,246.31","   4,698",      51,0.4,0.7,0.0,0.0
79.7,1.9,3.0,3.5,89.1,0.0,0.0,2.5,54.2,45.8,6.6,1.9,17.7,28.5,"      $3,416,313","  $73,468",     47,"           $8,334,298.00",             588.2,"              $14,169.16","          $10,108,002.00",             636.4,"              $15,883.10",     598,      18,0.2,3.0,0.0,0.0
76.1,3.0,2.5,12.8,77.9,0.0,0.1,3.6,52.0,48.0,7.8,4.1,20.7,40.2,"     $24,533,710","  $74,435",    330,"          $61,304,382.00","           4,547.9","              $13,479.71","          $69,646,336.00","           4,726.5","              $14,735.29","   4,650",     206,2.7,2.7,0.0,0.0
77.4,4.0,7.4,6.0,79.6,0.1,0.1,2.7,51.0,49.0,7.9,1.6,18.3,31.3,"     $31,485,547","  $83,185",    379,"          $76,966,823.00","           4,782.2","              $16,094.44","          $83,639,837.00","           5,049.2","              $16,564.97","   4,925",      77,0.0,1.5,0.0,0.0
81.4,0.4,1.4,3.4,93.0,0.0,0.0,1.8,50.1,49.9,0.7,0.2,9.5,18.6,"      $7,759,731","  $76,677",    101,"          $23,729,897.00","           1,232.0","              $19,261.28","          $23,751,402.00","           1,236.0","              $19,216.34","   1,228",      28,1.3,1.1,0.0,0.0
65.9,1.3,1.1,6.1,87.9,0.1,0.0,3.6,51.3,48.7,6.9,3.2,17.7,37.1,"      $9,236,975","  $68,881",    134,"          $23,353,305.00","           1,694.2","              $13,784.27","          $25,743,434.00","           1,820.6","              $14,140.08","   1,743",      70,3.0,1.8,0.0,0.0
61.7,22.0,0.9,12.4,59.4,0.7,0.1,4.4,55.4,44.6,8.4,0.5,26.6,45.1,"      $6,982,777","  $81,195",     86,"          $20,314,306.00",             890.3,"              $22,817.37","          $20,314,306.00",             890.3,"              $22,817.37",     859,      24,0.0,2.8,0.0,0.0
68.9,31.5,9.0,41.9,14.2,0.3,0.2,3.0,51.8,48.2,48.1,31.7,19.6,75.1,"    $434,326,612"," $101,811","  4,266","       $1,215,099,782.00","          53,414.7","              $22,748.42","       $1,473,857,400.00","          67,288.3","              $21,903.62","  56,325","   1,293",0.3,2.1,0.0,0.0
74.3,1.9,1.6,4.5,87.9,1.0,0.2,2.9,49.4,50.6,1.3,0.9,16.1,36.4,"     $12,024,119","  $80,186",    150,"          $30,662,203.00","           1,959.9","              $15,644.78","          $35,454,623.00","           2,246.4","              $15,782.86","   2,033",      84,1.5,3.0,0.0,0.0
85.8,4.8,17.3,4.6,71.6,0.3,0.1,1.3,50.4,49.6,15.1,5.5,20.5,37.9,"     $34,556,891","  $79,863",    433,"          $82,526,209.00","           5,875.9","              $14,044.86","          $88,696,484.00","           5,966.8","              $14,865.00","   6,026",      84,0.2,1.2,0.0,0.0
81.3,4.6,1.8,0.3,89.2,0.1,0.2,3.9,51.7,48.3,1.7,1.2,15.3,28.1,"     $28,255,049","  $85,388",    331,"          $68,656,638.00","           5,350.3","              $12,832.30","          $75,718,814.00","           5,562.9","              $13,611.39","   5,481",     158,1.4,2.0,0.0,0.0
63.2,1.1,0.0,4.2,92.1,0.0,0.0,2.6,28.7,70.8,0.7,0.0,14.3,32.0,"      $2,492,103","  $70,003",     36,"           $9,827,820.00",             456.5,"              $21,528.63","           $9,827,820.00",             456.5,"              $21,528.63",     455,      14,1.1,2.2,0.0,0.0
56.4,3.4,0.7,7.0,85.5,0.5,0.0,2.9,56.6,43.2,3.4,0.2,18.6,38.2,"      $9,193,862","  $90,893",    101,"          $24,562,785.00","           1,309.8","              $18,753.08","          $24,638,731.00","           1,322.6","              $18,629.01","   1,286",     153,10.3,3.3,0.0,0.0
66.1,58.2,2.1,15.4,19.1,0.4,0.2,4.6,52.0,48.0,40.5,23.9,15.9,69.8,"     $97,396,208","  $96,174","  1,013","         $236,236,973.00","          16,523.4","              $14,297.12","         $258,885,444.00","          17,864.9","              $14,491.29","  17,784","   1,946",6.9,7.1,0.0,0.0
81.7,5.8,19.8,10.6,54.2,0.0,0.1,9.4,51.0,48.9,30.7,10.8,15.5,33.4,"     $60,085,735","  $95,208",    631,"         $152,516,727.00","           7,831.6","              $19,474.53","         $157,466,500.00","           7,904.2","              $19,921.88","   8,097",     102,0.7,0.7,0.0,0.0
86.8,6.0,16.9,6.0,66.9,0.3,0.0,4.0,50.3,49.7,18.1,4.8,13.2,26.7,"     $32,063,224","  $98,474",    326,"          $69,835,114.00","           3,511.3","              $19,888.68","          $78,897,855.00","           3,627.5","              $21,749.93","   3,641",      41,0.4,0.8,0.0,0.0
78.6,25.2,12.4,13.7,39.9,0.3,0.2,8.4,50.7,49.3,27.4,8.1,22.2,47.3,"     $60,295,729","  $88,191",    684,"         $191,472,826.00","           6,938.1","              $27,597.30","         $224,445,901.00","           7,603.3","              $29,519.54","   7,246",     182,0.8,2.0,0.0,0.0
88.1,10.1,10.6,5.0,69.2,0.0,0.2,4.8,50.2,49.7,5.5,2.2,13.1,26.1,"     $21,123,612","  $83,857",    252,"          $51,805,681.00","           3,313.9","              $15,632.84","          $57,094,335.00","           3,386.2","              $16,860.89","   3,388",      54,1.1,0.8,0.0,0.0
38.7,6.3,0.7,9.7,76.3,1.9,0.2,5.1,64.1,35.9,3.1,1.5,29.2,55.9,"      $5,203,438","  $79,080",     66,"          $15,583,461.00",             582.1,"              $26,771.11","          $15,618,202.00",             585.1,"              $26,693.22",     612,     103,10.6,8.5,0.0,0.0
86.7,1.1,0.4,1.3,95.8,0.2,0.1,1.1,49.7,50.3,0.8,0.7,20.5,37.6,"      $8,576,088","  $72,740",    118,"          $22,845,001.00","           1,566.7","              $14,581.61","          $25,084,827.00","           1,652.7","              $15,178.09","   1,628",      97,4.6,3.3,0.0,0.0
79.5,0.7,1.2,3.2,91.3,0.2,0.0,3.4,51.7,48.3,1.1,0.5,14.3,40.6,"      $9,199,152","  $73,652",    125,"          $26,599,392.00","           1,610.3","              $16,518.28","          $28,880,888.00","           1,834.4","              $15,744.05","   1,661",      68,2.0,3.0,0.0,0.0
91.6,2.9,14.5,5.4,74.2,0.1,0.1,2.8,51.6,48.4,12.6,4.0,16.6,29.3,"     $29,391,399","  $78,671",    374,"          $68,763,045.00","           5,010.5","              $13,723.79","          $78,677,232.00","           5,261.3","              $14,953.95","   5,161",      82,0.9,0.8,0.0,0.0
63.8,5.1,1.3,86.2,6.4,0.1,0.0,0.8,52.5,47.5,82.7,37.3,15.3,80.9,"     $28,754,484","  $69,506",    414,"          $83,437,501.00","           6,292.4","              $13,260.04","         $108,159,352.00","           7,373.7","              $14,668.26","   6,781",     247,0.4,3.5,0.0,0.0
